Initial Clause,Final Clause,Status
"Nenhuma modificação, alteração, aditivo ou renúncia ao presente Acordo vinculará as Partes, a não ser que convencionada por escrito e em instrumento devidamente assinado por ambas as Partes.","Nenhuma modificação, alteração, aditivo ou renúncia ao presente Acordo vinculará as Partes, a não ser que convencionada por escrito e em instrumento devidamente assinado por ambas as Partes.",equal
"Caso qualquer previsão deste Acordo venha a ser considerada ilegal ou inexequível, em qualquer extensão, sob qualquer determinação legal, tal previsão deixará de integrar este Acordo e o cumprimento das demais previsões não deverá ser afetado.","Caso qualquer previsão deste Acordo venha a ser considerada ilegal ou inexequível, em qualquer extensão, sob qualquer determinação legal, tal previsão deixará de integrar este Acordo e o cumprimento das demais previsões não deverá ser afetado.",equal
"É vedada a cessão por qualquer das Partes dos direitos e obrigações previstos neste Acordo, sem prévia e expressa anuência por escrito da outra Parte.","É vedada a cessão por qualquer das Partes dos direitos e obrigações previstos neste Acordo, sem prévia e expressa anuência por escrito da outra Parte.",equal
"Cada Parte se obriga a arcar com seus próprios custos na análise e avaliação da possível Operação, isentando a outra Parte de qualquer obrigação de reembolso ou ressarcimento, independentemente da realização ou não de qualquer proposta ou da conclusão final de qualquer negócio referente à Operação.","Cada Parte se obriga a arcar com seus próprios custos na análise e avaliação da possível Operação, isentando a outra Parte de qualquer obrigação de reembolso ou ressarcimento, independentemente da realização ou não de qualquer proposta ou da conclusão final de qualquer negócio referente à Operação.",equal
"O presente Acordo substitui todas as tratativas e discussões anteriores, passando a constituir o único acordo entre a Parte Receptora e a Parte Reveladora no que diz respeito às Informações Confidenciais.","O presente Acordo substitui todas as tratativas e discussões anteriores, passando a constituir o único acordo entre a Parte Receptora e a Parte Reveladora no que diz respeito às Informações Confidenciais.",equal
"As Partes reconhecem a forma de contratação por meios eletrônicos, digitais e informáticos como válida e eficaz, constituindo título executivo extrajudicial para todos os fins de direito, ainda que seja estabelecida com assinatura eletrônica ou certificação fora dos padrões ICP-BRASIL, conforme disposto pelo art. 10 da Medida  Provisória no 2.200/2001 em vigor no Brasil.","As Partes reconhecem a forma de contratação por meios eletrônicos, digitais e informáticos como válida e eficaz, constituindo título executivo extrajudicial para todos os fins de direito, ainda que seja estabelecida com assinatura eletrônica ou certificação fora dos padrões ICP-BRASIL, conforme disposto pelo art. 10 da Medida Provisória no 2.200/2001 em vigor no Brasil. As Partes reconhecem e anuem que a assinatura eletrônica é uma forma válida de expressar o consentimento das Partes em um contrato e que será considerada a data de assinatura deste Acordo, para todos os fins e efeitos, a data indicada abaixo, independentemente da data em que as assinaturas eletrônicas forem completadas.",changed
"Este Acordo será regido e interpretado de acordo com as leis da República Federativa do Brasil, e, na eventualidade do surgimento de quaisquer controvérsias ou litígios em decorrência do mesmo, as questões serão dirimidas no Foro Central da Comarca de São Paulo, Estado de São Paulo, com exclusão de qualquer outro, por mais privilegiado que seja.","Este Acordo será regido e interpretado de acordo com as leis da República Federativa do Brasil, e, na eventualidade do surgimento de quaisquer controvérsias ou litígios em decorrência do mesmo, as questões serão dirimidas no Foro Central da Comarca do Rio de Janeiro, Estado do Rio de Janeiro, com exclusão de qualquer outro, por mais privilegiado que seja.",changed
"E, POR ESTAREM JUSTAS E CONTRATADAS, as Partes assinam o presente Acordo em uma única via, em formato digital, por seus devidos representantes legais devidamente autorizados.","E, POR ESTAREM JUSTAS E CONTRATADAS, as Partes assinam o presente Acordo em uma única via, em formato digital, por seus devidos representantes legais devidamente autorizados.",equal
,"são ou se tornarem disponíveis para a Parte Receptora como informações não confidenciais por uma fonte (que não a Parte Reveladora) que, no melhor conhecimento da Parte Receptora, não seja proibida de divulgar tal informação;",added
,"As Partes reconhecem que a assinatura do presente Acordo não impede que gestoras de recursos relacionadas à Parte Receptora negociem quaisquer valores mobiliários, nos mercados organizados, para clientes e fundos de investimento que estejam sob gestão no curso normal de seus negócios.",added
,"Na hipótese de a Parte Receptora não possuir mais interesse na análise da Operação e no recebimento das Informações Confidenciais, esta poderá notificar a Parte Reveladora por escrito, a fim de suspender a divulgação de Informações Confidenciais pela Parte Reveladora à Parte Receptora.",added
,"Cada Parte se compromete a direcionar os documentos para assinatura eletrônica aos seus representantes legais, na forma do seu Contrato Social/Estatuto Social. Assim, as Partes se responsabilizam por todas e quaisquer informações prestadas às outras, se comprometendo, ainda, a informar sempre que houver qualquer alteração e/ou atualização, especialmente sobre seus representantes legais.",added
,"Uma vez assinado eletronicamente por todas as Partes, o documento final será enviado automaticamente por e-mail para todos os participantes do fluxo de assinatura. Sem prejuízo disso, a versão final ficará disponível na plataforma de assinatura eletrônica, ficando cada uma das Partes responsável por extrair, da plataforma, a sua respectiva via.",added
"Doravante designadas, individualmente, como “Parte” e, conjuntamente, como “Partes”.","Doravante designadas, individualmente, como “Parte” e, conjuntamente, como “Partes”.",equal
Considerando que:,Considerando que:,equal
"A Parte Reveladora é uma empresa que tem por objetivo [•inserir o ramo de atividade e objeto da empresa•] (o “Projeto”), tendo iniciado o processo de captação de recursos para o Projeto;",,deleted
"A Parte Reveladora é detentora de Informações Confidenciais (conforme definido abaixo) referentes às atividades, negócios e ativos do Projeto;","As Partes poderão revelar, uma a outra, durante tais discussões, Informações Confidenciais (conforme definido abaixo) referentes às suas atividades e/ou a negócios e ativos envolvidos na Oportunidade de Negócio;",changed
A Parte Receptora tem interesse em ter acesso às Informações Confidenciais com o objetivo de analisar a possibilidade de investimento no Projeto para fundos de investimento sob gestão da Parte Receptora; e,"A Parte Receptora se compromete a utilizar as Informações Confidenciais reveladas pela Parte Reveladora exclusivamente para a análise da Oportunidade de Negócio, mantendo toda e qualquer Informação Confidencial recebida em absoluto sigilo nos termos deste Acordo, abstendo-se de revelar as Informações Confidenciais para quaisquer terceiros que não as Pessoas Autorizadas (conforme abaixo definido), exceto com a expressa autorização por escrito da Parte Reveladora.",changed
"A Parte Reveladora aceita divulgar as Informações Confidenciais para a Parte Receptora, desde que as mesmas sejam mantidas em sigilo de acordo com o escopo e os termos e condições pactuados no presente acordo.","A Parte Receptora se compromete a utilizar as Informações Confidenciais reveladas pela Parte Reveladora exclusivamente para a análise da Oportunidade de Negócio, mantendo toda e qualquer Informação Confidencial recebida em absoluto sigilo nos termos deste Acordo, abstendo-se de revelar as Informações Confidenciais para quaisquer terceiros que não as Pessoas Autorizadas (conforme abaixo definido), exceto com a expressa autorização por escrito da Parte Reveladora.",changed
"As Partes firmam o presente Acordo de Confidencialidade (“Acordo”), consoante os termos e condições ajustados a seguir.","As Partes firmam o presente Acordo de Confidencialidade (“Acordo”), consoante os termos e condições ajustados a seguir.",equal
1.	Definições,1.	Definições,equal
"Para os fins e efeitos do presente Acordo, os termos iniciados em letra maiúscula não definidos de outra forma neste Acordo terão os significados designados abaixo, observado, ainda, que as palavras utilizadas no singular e plural serão consideradas como uma incluindo a outra:","Para os fins e efeitos do presente Acordo, os termos iniciados em letra maiúscula não definidos de outra forma neste Acordo terão os significados designados abaixo, observado, ainda, que as palavras utilizadas no singular e plural serão consideradas como uma incluindo a outra:",equal
"“Afiliada” de uma Parte significa: (i) qualquer pessoa jurídica que, na data deste Acordo ou a qualquer momento após a data deste Acordo, seja Controlada por, seja Controladora da, ou esteja sob Controle ou influência significativa comum, direta ou indiretamente, com a primeira, sendo que para fins deste Acordo, os termos “Controle”, “Controlada” e “Controladora” têm o significado que lhes é atribuído pelo artigo 116 da Lei nº 6.404/76; bem como significa (ii) qualquer fundo de investimento que seja gerido com poderes discricionários de investimento pela respectiva Parte; e qualquer outro fundo de investimento que seja gerido por uma Afiliada da Parte, desde que em ambos os casos tenha poderes discricionários de investimento.","“Afiliada” de uma Parte significa: (i) qualquer pessoa jurídica que, na data deste Acordo ou a qualquer momento após a data deste Acordo, seja Controlada por, seja Controladora da, ou esteja sob Controle ou influência significativa comum, direta ou indiretamente, com a primeira, sendo que para fins deste Acordo, os termos “Controle”, “Controlada” e “Controladora” têm o significado que lhes é atribuído pelo artigo 116 da Lei nº 6.404/76; bem como significa (ii) qualquer fundo de investimento que seja gerido com poderes discricionários de investimento pela respectiva Parte; e qualquer outro fundo de investimento que seja gerido por uma Afiliada da Parte, desde que em ambos os casos tenha poderes discricionários de investimento.",equal
"“Informação Confidencial” significa, sem se limitar a, toda e qualquer informação de natureza técnica, operacional, financeira, econômica, jurídica, estratégica, comercial, de engenharia ou produção relacionada ao Projeto, divulgada à Parte Receptora pela ou em nome da Parte Reveladora, que, de modo geral, não seja de conhecimento público, incluindo análises, planos de negócios, técnicas e experiências acumuladas, documentos, contratos, relatórios, estudos, pareceres e pesquisas, transmitidas à Parte Receptora (i) por quaisquer meios físicos, tais como bens tangíveis, documentos impressos, manuscritos, fac-símile, mensagens eletrônicas, fotografias, dentre outros; (ii) por qualquer forma registrada em mídia eletrônica, tal como fitas, laser-discs, DVD, CD ou qualquer outro meio gitial ou magnético; (iii) oralmente; ou (iv) por meio de resumos, anotações e quaisquer comentários, orais ou escritos.","“Informação Confidencial” significa, sem se limitar a, toda e qualquer informação que, de modo geral, não seja de conhecimento público, de natureza técnica, operacional, financeira, econômica, jurídica, estratégica, comercial, de engenharia ou produção divulgada à Parte Receptora (conforme for o caso nos termos da Cláusula 1.2 abaixo) pela, ou em nome da, Parte Reveladora no âmbito da análise da Oportunidade de Negócio, incluindo análises, planos de negócios, técnicas e experiências acumuladas, documentos, contratos, relatórios, estudos, pareceres e pesquisas, transmitidas à Parte Receptora (i) por quaisquer meios físicos, tais como bens tangíveis, documentos impressos, manuscritos, fac-símile, mensagens eletrônicas, fotografias, dentre outros; (ii) por qualquer forma registrada em mídia eletrônica, tal como fitas, laser-discs, DVD, CD ou qualquer outro meio digital ou magnético; (iii) oralmente; ou (iv) por meio de resumos, anotações e quaisquer comentários, orais ou escritos",changed
“Parte Receptora” significa a Parte deste Acordo que recebe as Informações Confidenciais da Parte Divulgadora.,A Parte Receptora reconhece e concorda que toda Informação Confidencial permanece como de única e exclusiva propriedade da Parte Reveladora.,changed
"“Parte Reveladora” significa a Parte deste Acordo que divulga ou revela Informações Confidenciais para a Parte Receptora, suas Afiliadas ou Representantes.","A Parte Receptora se compromete a utilizar as Informações Confidenciais reveladas pela Parte Reveladora exclusivamente para a análise da Oportunidade de Negócio, mantendo toda e qualquer Informação Confidencial recebida em absoluto sigilo nos termos deste Acordo, abstendo-se de revelar as Informações Confidenciais para quaisquer terceiros que não as Pessoas Autorizadas (conforme abaixo definido), exceto com a expressa autorização por escrito da Parte Reveladora.",changed
"“Representantes” de uma Parte são os sócios, administradores, diretores, gerentes, membros de conselhos ou comitês ou de quaisquer órgãos consultivos, representantes, dirigentes, procuradores, empregados, subcontratados ou consultores, presentes ou futuros (incluindo, sem qualquer limitação, advogados, contadores, consultores financeiros, auditores, etc.), pessoas físicas ou jurídicas, da Parte e/ou de uma Afiliada da Parte, sendo certo que, para os fins deste Acordo, apenas serão considerados Representantes aqueles que efetivamente recebam ou forneçam acesso à Informação Confidencial e/ou que estejam diretamente envolvidos no Projeto.","“Representantes” de uma Parte são os sócios, administradores, diretores, gerentes, membros de conselhos ou comitês ou de quaisquer órgãos consultivos, representantes, dirigentes, procuradores, empregados, subcontratados ou consultores, presentes ou futuros (incluindo, sem qualquer limitação, advogados, contadores, consultores financeiros, auditores, etc.), pessoas físicas ou jurídicas, da Parte e/ou de uma Afiliada da Parte, sendo certo que, para os fins deste Acordo, apenas serão considerados Representantes aqueles que efetivamente recebam ou forneçam acesso à Informação Confidencial e/ou que estejam diretamente envolvidos na análise da Oportunidade de Negócio.",changed
Compromisso de Sigilo,Compromisso de Sigilo,equal
"A Parte Receptora se compromete a utilizar as Informações Confidenciais reveladas pela Parte Reveladora exclusivamente para a análise da viabilidade de investimento no Projeto, mantendo toda e qualquer Informação Confidencial em absoluto sigilo nos termos deste Acordo, abstendo-se de revelar as Informações Confidenciais para quaisquer terceiros que não as Pessoas Autorizadas (conforme abaixo definido), exceto com a expressa autorização por escrito da Parte Reveladora.","A Parte Receptora se compromete a utilizar as Informações Confidenciais reveladas pela Parte Reveladora exclusivamente para a análise da Oportunidade de Negócio, mantendo toda e qualquer Informação Confidencial recebida em absoluto sigilo nos termos deste Acordo, abstendo-se de revelar as Informações Confidenciais para quaisquer terceiros que não as Pessoas Autorizadas (conforme abaixo definido), exceto com a expressa autorização por escrito da Parte Reveladora.",changed
A Parte Receptora terá com as Informações Confidenciais a mesma diligência e cuidado que costuma empregar aos seus documentos sigilosos.,A Parte Receptora terá com as Informações Confidenciais recebidas a mesma diligência e cuidado que costuma empregar aos seus documentos sigilosos.,equal
"Não obstante o compromisso de sigilo assumido pela Parte Receptora, a existência e os termos deste Acordo serão tratados como Informações Confidenciais por ambas as Partes.","Não obstante o compromisso de sigilo assumido pela Parte Receptora, a existência e os termos deste Acordo serão tratados como Informações Confidenciais por ambas as Partes.",equal
3.	Pessoas autorizadas ao recebimento das Informações Confidenciais,3.	Pessoas autorizadas ao recebimento das Informações Confidenciais,equal
"A Parte Receptora está autorizada a revelar as Informações Confidenciais aos seus Representantes e Afiliadas (“Pessoas Autorizadas”), devendo tais Pessoas Autorizadas serem informadas e conscientizadas da natureza confidencial das informações.","A Parte Receptora está autorizada a revelar as Informações Confidenciais aos seus Representantes e Afiliadas que necessitem ter acesso às Informações Confidenciais para análise da Oportunidade de Negócio (“Pessoas Autorizadas”), devendo tais Pessoas Autorizadas serem informadas e conscientizadas da natureza confidencial das informações, bem como estarem sob obrigações de confidencialidade perante a Parte Receptora em termos no mínimo tão restritos quanto aos aqui previstos.",changed
"Não obstante o disposto acima, a Parte Receptora reconhece, desde já, que será responsável pelo uso que fizerem das Informações Confidenciais quaisquer de suas Pessoas Autorizadas ou pela violação por parte destes de qualquer obrigação de confidencialidade.","Não obstante o disposto acima, a Parte Receptora reconhece, desde já, que será responsável pelo uso que fizerem das Informações Confidenciais quaisquer de suas Pessoas Autorizadas ou pela violação por parte destas de qualquer obrigação de confidencialidade prevista neste Acordo.",changed
Limitações da Confidencialidade,Limitações da Confidencialidade,equal
Não serão consideradas Informações Confidenciais as informações que:,Não serão consideradas Informações Confidenciais as informações que:,equal
"Sejam ou venham a ser identificadas como de domínio público, não decorrente de ação ou omissão da Parte Receptora;","Sejam ou venham a ser identificadas como de domínio público, não decorrente de ação ou omissão da Parte Receptora;",equal
"Eram de conhecimento da Parte Receptora antes de sua revelação pela Parte Reveladora, tendo sido adquiridas sem qualquer restrição quanto ao seu uso ou divulgação;","Eram de conhecimento da Parte Receptora antes de sua revelação pela Parte Reveladora, tendo sido adquiridas sem qualquer restrição quanto ao seu uso ou divulgação;",equal
"Foram legitimamente obtidas pela Parte Receptora de um terceiro que, no melhor conhecimento da Parte Receptora, tinha o direito de divulgá-las sem qualquer restrição de uso ou divulgação;","Foram legitimamente obtidas pela Parte Receptora de um terceiro que, no melhor conhecimento da Parte Receptora, tinha o direito de divulgá-las sem qualquer restrição de uso ou divulgação;",equal
Foram independentemente desenvolvidas pela Parte Receptora sem conter Informação Confidencial da Parte Reveladora; ou,Foram independentemente desenvolvidas pela Parte Receptora sem conter Informação Confidencial por ela recebida; ou,changed
Tiverem a sua divulgação autorizada pela Parte Reveladora à Parte Receptora.,Tiverem a sua divulgação previamente autorizada pela Parte Reveladora à Parte Receptora.,changed
Direitos e Obrigações das Partes,Direitos e Obrigações das Partes,equal
A Parte Receptora reconhece e concorda que toda Informação Confidencial permanece como de única e exclusiva propriedade da Parte Reveladora.,A Parte Receptora reconhece e concorda que toda Informação Confidencial permanece como de única e exclusiva propriedade da Parte Reveladora.,equal
"Se a Parte Receptora for legalmente obrigada a revelar, no todo ou em parte, as Informações Confidenciais por qualquer lei, ordem, juízo, autoridade governamental competente ou órgão regulador, e somente se permitido pela referida autoridade, lei ou ordem, enviará prontamente à Parte Reveladora aviso por escrito com prazo suficiente para permitir que esta última adote as medidas legais cabíveis para resguardo de seus direitos. Se a Parte Receptora, na hipótese aqui tratada, tiver que revelar as Informações Confidenciais, divulgará tão somente e estritamente a informação que for legalmente exigível e envidará seus melhores esforços para obter tratamento de segredo para quaisquer Informações Confidenciais que revelar, nos precisos termos deste Acordo e da lei.","Se a Parte Receptora for legalmente obrigada a revelar, no todo ou em parte, as Informações Confidenciais por qualquer lei, ordem, juízo, autoridade governamental competente ou órgão regulador, e somente se permitido pela referida autoridade, lei ou ordem, enviará prontamente à Parte Reveladora aviso por escrito com prazo suficiente para permitir que esta última adote as medidas legais cabíveis para resguardo de seus direitos. Se a Parte Receptora, na hipótese aqui tratada, tiver que revelar as Informações Confidenciais, divulgará tão somente e estritamente a informação que for legalmente exigível e envidará seus melhores esforços para obter tratamento de segredo para quaisquer Informações Confidenciais que revelar, nos precisos termos deste Acordo e da lei.",equal
"A Parte Reveladora declara e reconhece que todas as informações fornecidas à Parte Receptora, no seu melhor juízo e consoante a boa-fé objetiva, são verdadeiras e refletem adequadamente a situação econômico-financeira dos ativos e negócios relacionados ao Projeto. Igualmente, declara e reconhece que não omitiu, voluntariamente, qualquer Informação Confidencial que julgue relevante para a análise da Parte Receptora e o escopo deste Acordo.","A Parte Reveladora declara e reconhece que todas as informações fornecidas à Parte Receptora, no seu melhor juízo e consoante a boa-fé objetiva, são verdadeiras e refletem adequadamente a situação econômico-financeira dos ativos e negócios envolvidos na Oportunidade de Negócio. Igualmente, declara e reconhece que não omitiu, voluntariamente, qualquer Informação Confidencial que julgue relevante para a análise da Parte Receptora e o escopo deste Acordo.",changed
"Cada uma das Partes reconhece que a Parte Reveladora poderá suspender, a qualquer tempo, o fornecimento das Informações Confidenciais, bem como o seu acesso às mesmas, sendo certo que tal suspensão não afetará as obrigações aqui previstas.","Cada uma das Partes reconhece que a Parte Reveladora poderá suspender, a qualquer tempo, o fornecimento das Informações Confidenciais, bem como o seu acesso às mesmas, sendo certo que tal suspensão não afetará as obrigações aqui previstas.",equal
"Caso não haja interesse de qualquer das Partes na manutenção da revelação das Informações Confidenciais, por qualquer motivo, ou se a Parte Reveladora assim o exigir mediante notificação escrita à Parte Receptora, os documentos confidenciais que eventualmente tenham sido entregues à Parte Receptora deverão ser prontamente devolvidos ou destruídos (confirmando-se a destruição por escrito à Parte Reveladora).","Caso a Parte Reveladora assim exija mediante notificação escrita à Parte Receptora, as Informações Confidenciais que eventualmente tenham sido entregues à Parte Receptora deverão ser prontamente devolvidas ou destruídas (confirmando-se a destruição por escrito à Parte Reveladora).",changed
"A obrigação de que trata a cláusula 5.5 não será aplicável na medida em que a manutenção das Informações Confidenciais seja exigida por determinação legal, regulatória e/ou de compliance, ou quando a destruição não for possível devido a arquivamento eletrônico não destruível e/ou backups automáticos da Parte Receptora, sendo que, neste caso, a Parte Receptora ficará obrigada a manter a confidencialidade sobre as Informações Confidenciais, nos termos aqui previstos.","A obrigação de que trata a cláusula 5.5 não será aplicável na medida em que a manutenção das Informações Confidenciais seja exigida por determinação legal, regulatória e/ou de compliance, ou quando a destruição não for possível devido a arquivamento eletrônico não destruível e/ou backups automáticos da Parte Receptora, sendo que, neste caso, a Parte Receptora ficará obrigada a manter a confidencialidade sobre as Informações Confidenciais, nos termos aqui previstos.",equal
"As Partes reconhecem que a assinatura do presente Acordo não impede que gestoras de recursos relacionadas à Parte Receptora possam vir a negociar quaisquer valores mobiliários, nos mercados organizados para clientes e fundos de investimento que estejam sob gestão, no curso normal dos seus negócios.","As Partes reconhecem que a assinatura do presente Acordo não impede que gestoras de recursos relacionadas ao Opportunity possam vir a negociar quaisquer valores mobiliários, nos mercados organizados para clientes e fundos de investimento que estejam sob gestão, no curso normal dos seus negócios.",changed
Execução Específica,Execução Específica,equal
"As Partes concordam que a compensação financeira por danos materiais pode não ser suficiente em caso de qualquer descumprimento do presente Acordo, estando as Partes autorizadas a requerer a execução específica e outras medidas judiciais pertinentes, a fim de que as obrigações aqui previstas sejam satisfeitas. As Partes acordam e reconhecem que a responsabilidade de qualquer Parte em decorrência deste Acordo está limitada aos danos materiais e diretos eventualmente suportados, sendo que nenhuma Parte será responsável por danos de natureza extrapatrimonial, danos indiretos, dano por ricochete ou lucros cessantes.","As Partes concordam que a compensação financeira por danos materiais pode não ser suficiente em caso de qualquer descumprimento do presente Acordo, estando as Partes autorizadas a requerer a execução específica e outras medidas judiciais pertinentes a fim de que as obrigações aqui previstas sejam satisfeitas.",changed
7.  	Prazo,7.  	Prazo,equal
O presente Acordo possui natureza irrevogável e irretratável para as Partes e é válido pelo período de 2 (dois) ano a contar da data de assinatura deste Acordo.,O presente Acordo possui natureza irrevogável e irretratável para as Partes e é válido pelo período de 2 (dois) anos a contar da data de assinatura deste Acordo.,equal
"Na hipótese de a Parte Receptora não possuir mais interesse na análise do Projeto e no recebimento das Informações Confidenciais, esta poderá notificar a Parte Reveladora por escrito, a fim de suspender a divulgação de Informações Confidenciais pela Parte Reveladora à Parte Receptora.","Na hipótese de uma Parte não possuir mais interesse na análise da Oportunidade de Negócio e no recebimento das Informações Confidenciais, esta poderá notificar a outra Parte por escrito, a fim de suspender a divulgação de Informações Confidenciais entre as Partes.",changed
8.  	Assinatura Eletrônica,8.  	Assinatura Eletrônica,equal
"As Partes aceitam que este Acordo e eventuais aditivos e demais instrumentos que venham a ser necessários entre as Partes poderão ser assinados eletronicamente ou de forma manuscrita ou por ambas as modalidades no mesmo documento para todos e quaisquer fins de direito. As Partes reconhecem e anuem que a assinatura eletrônica é uma forma válida de expressar o consentimento das Partes em um contrato, sendo certo que será considerada a data de assinatura deste Acordo, bem como o local de assinatura, para todos os fins e efeitos, a data e local indicados abaixo, independentemente da data e local em que as assinaturas eletrônicas forem implementadas. Cada Parte se compromete a direcionar os documentos para assinatura eletrônica aos seus representantes legais, na forma do seu Estatuto Social/Contrato Social. Assim, as Partes se responsabilizam por todas e quaisquer informações prestadas às outras, se comprometendo, ainda, a informar sempre que houver qualquer alteração e/ou atualização, especialmente sobre seus representantes legais.","As Partes aceitam que este Acordo e eventuais aditivos e demais instrumentos que venham a ser necessários entre as Partes poderão ser assinados eletronicamente ou de forma manuscrita ou por ambas as modalidades no mesmo documento para todos e quaisquer fins de direito. As Partes reconhecem e anuem que a assinatura eletrônica é uma forma válida de expressar o consentimento das Partes em um contrato, sendo certo que será considerada a data de assinatura deste Acordo, bem como o local de assinatura, para todos os fins e efeitos, a data e local indicados abaixo, independentemente da data e local em que as assinaturas eletrônicas forem implementadas. Cada Parte se compromete a direcionar os documentos para assinatura eletrônica aos seus representantes legais, na forma do seu Estatuto Social/Contrato Social. Assim, as Partes se responsabilizam por todas e quaisquer informações prestadas às outras, se comprometendo, ainda, a informar sempre que houver qualquer alteração e/ou atualização, especialmente sobre seus representantes legais.",equal
9. 	Disposições Gerais,9. 	Disposições Gerais,equal
"Este Acordo não assegura qualquer direito de exclusividade às Partes em relação a uma eventual transação comercial entre elas ou entre a Parte Receptora e outras entidades participantes do Projeto, bem como não limita o direito das Partes de analisar, discutir, negociar ou celebrar qualquer contrato ou negócio com quaisquer terceiros.","Este Acordo não assegura qualquer direito de exclusividade às Partes em relação a uma eventual transação comercial entre elas ou entre uma Parte e outras entidades participantes da Potencial Transação, bem como não limita o direito das Partes de analisar, discutir, negociar ou celebrar qualquer contrato ou negócio com quaisquer terceiros.",changed
"As Partes concordam que a celebração deste Acordo não constitui qualquer proposta, promessa de proposta ou obrigação em relação à celebração de qualquer outra transação entre as Partes, bem como cada Parte será a única e exclusiva responsável pelos custos e despesas por ela incorridos em decorrência de revelação ou análise das Informações Confidenciais.","As Partes concordam que a celebração deste Acordo não constitui qualquer proposta, promessa de proposta ou obrigação em relação à celebração de qualquer outra transação entre as Partes, bem como cada Parte será a única e exclusiva responsável pelos custos e despesas por ela incorridos em decorrência de revelação ou análise das Informações Confidenciais.",equal
"Todas as notificações, solicitações e outros avisos nos termos deste Acordo deverão ser efetuados por escrito e serão considerados como devidamente feitos quando entregues pessoalmente, contra comprovante de recebimento, por notificação judicial ou extrajudicial pelo Cartório de Notas, enviados por carta registrada ou serviço de entrega particular (courier) com aviso de recebimento, ou enviados por e-mail com comprovante de envio, aos endereços abaixo indicados:","Todas as notificações, solicitações e outros avisos nos termos deste Acordo deverão ser efetuados por escrito e serão considerados como devidamente feitos quando entregues pessoalmente, contra comprovante de recebimento, por notificação judicial ou extrajudicial pelo Cartório de Notas, enviados por carta registrada ou serviço de entrega particular (courier) com aviso de recebimento, ou enviados por e-mail com comprovante de envio, aos endereços abaixo indicados:",equal
"Nenhuma das Partes poderá ceder as obrigações contempladas neste Acordo, total ou parcialmente, sem o consentimento prévio e por escrito da outra Parte, e qualquer tentativa de cessão sem tal consentimento será nula de pleno direito, exceto na hipótese de cessão pela Parte Receptora a uma Afiliada.","Nenhuma das Partes poderá ceder as obrigações contempladas neste Acordo, total ou parcialmente, sem o consentimento prévio e por escrito da outra Parte, e qualquer tentativa de cessão sem tal consentimento será nula de pleno direito.",changed
"Este Acordo é celebrado em caráter irrevogável e irretratável, obrigando as Partes contratantes e seus sucessores, a qualquer título. Qualquer emenda, aditivo ou alteração a este Acordo deverá ser celebrado por acordo escrito entre as Partes.","Este Acordo é celebrado em caráter irrevogável e irretratável, obrigando as Partes contratantes e seus sucessores, a qualquer título. Qualquer emenda, aditivo ou alteração a este Acordo deverá ser celebrado por acordo escrito entre as Partes.",equal
"Caso uma ou mais disposições contidas neste Acordo venham a ser consideradas nulas, ilegais ou inexequíveis segundo as leis brasileiras, a validade, legalidade e exequibilidade das demais disposições contidas neste Acordo não deverão ser afetadas ou prejudicadas de qualquer modo por tal nulidade, ilegalidade ou inexequibilidade.","Caso uma ou mais disposições contidas neste Acordo venham a ser consideradas nulas, ilegais ou inexequíveis segundo as leis brasileiras, a validade, legalidade e exequibilidade das demais disposições contidas neste Acordo não deverão ser afetadas ou prejudicadas de qualquer modo por tal nulidade, ilegalidade ou inexequibilidade.",equal
As Partes concordam que qualquer falha ou atraso de qualquer das Partes em exercer qualquer direito previsto neste Acordo não operará como renúncia dos mesmos e que qualquer exercício isolado ou parcial de qualquer de tais direitos não terá o condão de limitar o exercício futuro de tal direito ou de qualquer outro direito aqui previsto.,As Partes concordam que qualquer falha ou atraso de qualquer das Partes em exercer qualquer direito previsto neste Acordo não operará como renúncia dos mesmos e que qualquer exercício isolado ou parcial de qualquer de tais direitos não terá o condão de limitar o exercício futuro de tal direito ou de qualquer outro direito aqui previsto.,equal
"O presente Acordo constitui o inteiro entendimento entre as Partes em relação ao seu objeto e prevalecerá sobre todos e quaisquer entendimentos, avenças, acordos e comunicações, orais ou escritos, travados anteriormente entre as Partes com relação ao presente escopo.","O presente Acordo constitui o inteiro entendimento entre as Partes em relação ao seu objeto e prevalecerá sobre todos e quaisquer entendimentos, avenças, acordos e comunicações, orais ou escritos, travados anteriormente entre as Partes com relação ao presente escopo.",equal
10.  	Legislação Aplicável,10.  	Legislação Aplicável,equal
"Este Acordo será regido e interpretado pelas Leis da República Federativa do Brasil, sendo eleito o foro da Comarca da Capital do Estado do Rio de Janeiro para dirimir os litígios, controvérsias e disputas relacionadas ou decorrentes do presente Acordo, com exclusão de qualquer outro, por mais privilegiado que seja.","Este Acordo será regido e interpretado pelas Leis da República Federativa do Brasil, sendo eleito o foro da Comarca da Capital do Estado do Rio de Janeiro para dirimir os litígios, controvérsias e disputas relacionadas ou decorrentes do presente Acordo, com exclusão de qualquer outro, por mais privilegiado que seja.",equal
"As Partes assinam eletronicamente o presente instrumento pelos seus representantes legais, em conjunto com as duas testemunhas abaixo identificadas:","As Partes assinam eletronicamente o presente instrumento pelos seus representantes legais, em conjunto com as duas testemunhas abaixo identificadas:",equal
,"As Partes têm interesse em discutir a possibilidade de investimento, para fundos de investimento sob gestão do Opportunity, na Paraty e/ou em suas Afiliadas, ou em outros projetos no setor de energias renováveis (“Oportunidade de Negócio”);",added
